Label,Image URI,Plate Number,Provider
Plate Number 130. Descending stairs,https://api.nga.gov/iiif/86bb29d9-8db2-49a7-9fe7-8788f37395b4/info.json,130,National Gallery of Art
"Plate Number 131. Descending stairs, waving hand",https://api.nga.gov/iiif/47cfc5d7-426c-4656-819a-d984f48b08bb/info.json,131,National Gallery of Art
"Plate Number 132. Descending stairs, turning to look around and waving hand",https://api.nga.gov/iiif/e14d565a-0f4f-42d9-8388-87fba4c1638f/info.json,132,National Gallery of Art
Plate Number 133. Descending stairs and throwing handkerchief over shoulders,https://api.nga.gov/iiif/15d58871-b8ad-4ef0-928b-6dcc4e9395dd/info.json,133,National Gallery of Art
Plate Number 134. Descending stairs with a basin in hands,https://api.nga.gov/iiif/ce5ad6b9-9f44-4626-a187-b33966c2eb71/info.json,134,National Gallery of Art
"Plate Number 135. Descending stairs and turning, a lamp in right hand",https://api.nga.gov/iiif/6c8fa3f9-4607-4421-bd11-7d84b1606dcf/info.json,135,National Gallery of Art
"Plate Number 136. Descending stairs, a full demijohn on shoulder",https://api.nga.gov/iiif/375a5935-7a59-4f51-bfce-13fc876463c4/info.json,136,National Gallery of Art
Plate Number 137. Descending stairs and turning around,https://api.nga.gov/iiif/385a97c8-e8fc-4322-8e3a-202a5b0f54ea/info.json,137,National Gallery of Art
Plate Number 138. Descending stairs and turning with a pitcher in left hand,https://api.nga.gov/iiif/7018f4da-8819-4e8f-af7e-4538ede70263/info.json,138,National Gallery of Art
Plate Number 139. Descending stairs and turning,https://api.nga.gov/iiif/16578813-4ee9-42a4-8ee0-1764c7481ae4/info.json,139,National Gallery of Art
"Plate Number 140. Descending stairs, looking around and waving a fan",https://api.nga.gov/iiif/68438ae3-2aba-4759-b36d-c6896b02cd6d/info.json,140,National Gallery of Art
"Plate Number 141. Descending stairs, turning and flirting a fan",https://api.nga.gov/iiif/af3e2da5-dc6b-4178-a4c0-18641a2fef24/info.json,141,National Gallery of Art
"Plate Number 142. Descending stairs and turning, dress caught",https://api.nga.gov/iiif/c95b4350-f50e-44fd-8c7f-37402d7274e7/info.json,142,National Gallery of Art
"Plate Number 143. Descending stairs, a cup and saucer in right hand",https://api.nga.gov/iiif/9e9a25be-cc4f-4764-a14a-fdba2d94f29d/info.json,143,National Gallery of Art
Plate Number 144. Descending stairs and turning with a basin in hands,https://api.nga.gov/iiif/64c9b209-a1ae-4db9-a29e-2652b8290ae4/info.json,144,National Gallery of Art
Plate Number 145. Descending stairs and turning with a bucket of water in right hand,https://api.nga.gov/iiif/e9bfb4c7-e47a-498d-8efa-ea4bec114b34/info.json,145,National Gallery of Art
"Plate Number 146. Descending stairs and turning, a water jar on left shoulder",https://api.nga.gov/iiif/81dec032-affc-4600-bce3-6adc37ef75d8/info.json,146,National Gallery of Art
Plate Number 147. Descending stairs and turning with a water jar on right shoulder,https://api.nga.gov/iiif/b7ba35fc-fae7-40b5-bcdc-49cc67610acd/info.json,147,National Gallery of Art
"Plate Number 148. Descending stairs, turning carrying a bucket of water and a broom",https://api.nga.gov/iiif/175741bf-9afd-452c-a312-159cc04ddc9c/info.json,148,National Gallery of Art
Plate Number 149. Descending stairs and stooping to lift a pitcher,https://api.nga.gov/iiif/897203c7-dd92-4b7a-af6c-5264cee9cadd/info.json,149,National Gallery of Art
"Plate Number 150. Descending stairs, stooping, lifting a pitcher and turning",https://api.nga.gov/iiif/bd16cb8d-3ad7-44eb-87a8-c5d0983aa5d9/info.json,150,National Gallery of Art
Plate Number 151. Descending a stepladder and turning around with a rock in hands,https://api.nga.gov/iiif/3dde2790-dbeb-4b75-b9ac-cc8a4fea3ac3/info.json,151,National Gallery of Art
"Plate Number 152. Jumping, running straight high jump",https://api.nga.gov/iiif/7d00fa24-9afd-461c-aad4-658d9d46ef9b/info.json,152,National Gallery of Art
"Plate Number 153. Jumping, running straight high jump",https://api.nga.gov/iiif/95ff7580-5f66-4bdc-adf1-30c32a1dc8fc/info.json,153,National Gallery of Art
"Plate Number 154. Jumping, running straight high jump",https://api.nga.gov/iiif/b61a7899-9cc9-42e2-9707-5182d77923e0/info.json,154,National Gallery of Art
"Plate Number 155. Jumping, running straight high jump",https://api.nga.gov/iiif/cc0341eb-9cb0-42d7-9013-2ea9e43b05a7/info.json,155,National Gallery of Art
"Plate Number 156. Jumping, running straight high jump",https://api.nga.gov/iiif/603db0bb-965a-456d-a944-002a914a06c4/info.json,156,National Gallery of Art
"Plate Number 157. Jumping, running twist high jump",https://api.nga.gov/iiif/4c04f805-55ab-41cf-a6d5-5b34520194ea/info.json,157,National Gallery of Art
"Plate Number 158. Jumping, running twist high jump",https://api.nga.gov/iiif/f728e52d-e114-406a-90c1-2f01f7a637e8/info.json,158,National Gallery of Art
"Plate Number 159. Jumping, running broad jump",https://api.nga.gov/iiif/b1317e06-3732-4ff7-921f-c3dbedb9ee84/info.json,159,National Gallery of Art
"Plate Number 160. Jumping, running broad jump",https://api.nga.gov/iiif/d1425f0a-44d7-4f1e-a68c-1df6cb57031d/info.json,160,National Gallery of Art
